Name	Sex	Korean	Math	English
Park	F	71	76	73
Hong	M	81	42	76
Park	F	75	63	71
Hong	F	82	89	76
Choi	M	88	81	70
Park	F	98	43	72
Park	M	63	52	62
Choi	M	71	77	68
Hong	M	70	43	58
Kim	F	64	76	66
Hong	M	90	60	75
Park	M	82	52	78
Choi	M	90	21	64
Park	M	79	93	65
Kim	M	81	59	74
Park	F	66	62	79
Hong	F	89	95	72
Choi	M	76	52	70
Choi	M	79	54	70
Park	M	87	40	90
Hong	F	100	80	70
Choi	F	81	100	87
Park	M	79	59	85
Park	M	85	69	79
Kim	M	92	78	73
Hong	M	79	60	73
Park	M	79	47	78
Hong	F	73	28	65
Kim	M	63	64	72
Hong	F	78	42	65
Park	F	74	47	57
Kim	F	72	41	75
Hong	M	64	11	56
Park	M	86	79	64
Park	M	90	74	58
Park	M	91	40	66
Hong	M	70	54	74
Kim	F	51	78	58
Park	M	79	88	99
Choi	M	95	62	65
Choi	M	85	60	59
Kim	F	82	41	75
Kim	M	87	51	72
Choi	F	87	56	82
Park	F	84	56	76
Kim	M	81	58	82
Choi	M	73	32	69
Choi	F	66	91	63
Choi	M	82	69	76
Hong	F	79	73	59
Kim	F	82	72	71
Kim	F	66	91	73
Kim	F	92	65	70
Kim	M	83	84	73
Park	M	76	10	66
Choi	M	76	81	89
Kim	F	69	80	70
Kim	M	79	36	85
Kim	M	81	53	77
Choi	M	69	39	76
Park	M	77	29	75
Kim	M	70	31	83
Kim	M	70	77	66
Hong	F	80	63	90
Park	M	81	85	79
Park	M	63	34	65
Kim	M	79	36	74
Park	M	86	59	68
Choi	F	75	57	69
Hong	F	77	69	63
Choi	F	75	97	62
Choi	F	70	50	70
Choi	F	73	65	59
Park	M	77	65	76
Choi	M	86	54	72
Hong	M	96	49	67
Hong	F	86	11	71
Hong	F	98	58	68
Kim	F	93	67	71
Choi	F	87	53	55
Hong	F	79	76	60
Choi	F	60	58	53
Hong	F	89	28	80
Park	M	80	61	71
Choi	F	68	73	77
Park	F	92	72	80
Choi	F	65	32	73
Kim	F	96	53	77
Park	M	80	0	79
Choi	F	92	91	68
Park	F	81	38	84
Kim	M	73	63	79
Choi	M	71	74	73
Choi	F	84	59	70
Kim	M	91	71	64
Park	M	80	44	79
Park	M	72	100	92
Park	F	77	40	67
Park	F	86	57	65
Kim	M	86	61	57
Choi	M	77	75	68
Park	M	85	67	54
Park	M	69	47	69
Hong	F	94	72	63
Hong	F	84	63	60
Choi	F	77	78	85
Park	F	76	60	67
Park	F	69	44	68
Choi	F	88	30	76
Hong	F	68	64	78
Kim	F	87	73	60
Park	M	90	59	83
Park	M	74	57	61
Park	F	77	40	75
Kim	F	63	73	70
Kim	F	62	85	69
Choi	M	84	68	62
Kim	M	64	40	73
Hong	M	83	77	48
Hong	M	75	47	75
Hong	M	97	62	72
Kim	F	100	37	60
Choi	F	87	58	54
Kim	M	85	55	78
Hong	M	77	63	64
